qid,vid,query,duration_seconds,relevant_duration_seconds,density,max_mean_saliency,relevant_windows,preview_url,hf_filename
6668,HUk622Y1qX8_210.0_360.0,A family is swimming underwater near some coral reefs.,150.0,14.0,0.0933,4.0,"[[46, 60]]",https://www.youtube.com/embed/HUk622Y1qX8?start=210&end=360&version=3,moment_retrieval/qvhighlight/videos/HUk622Y1qX8_210.0_360.0.mp4
7579,M3rYmw7Xndw_660.0_810.0,Woman picks up a bag of pasta and sets it down.,150.0,14.0,0.0933,4.0,"[[118, 132]]",https://www.youtube.com/embed/M3rYmw7Xndw?start=660&end=810&version=3,moment_retrieval/qvhighlight/videos/M3rYmw7Xndw_660.0_810.0.mp4
45,gxuDsPaHsA8_60.0_210.0,View of the airplane wing in flight.,150.0,14.0,0.0933,4.0,"[[26, 36], [38, 42]]",https://www.youtube.com/embed/gxuDsPaHsA8?start=60&end=210&version=3,moment_retrieval/qvhighlight/videos/gxuDsPaHsA8_60.0_210.0.mp4
10111,D-VkWkPs1aw_360.0_510.0,Thousands of colorful pills are packed into clear plastic bags.,150.0,14.0,0.0933,4.0,"[[106, 120]]",https://www.youtube.com/embed/D-VkWkPs1aw?start=360&end=510&version=3,moment_retrieval/qvhighlight/videos/D-VkWkPs1aw_360.0_510.0.mp4
5791,rsv4drcgHys_60.0_210.0,People in scuba gear are swimming around.,150.0,14.0,0.0933,4.0,"[[38, 48], [60, 64]]",https://www.youtube.com/embed/rsv4drcgHys?start=60&end=210&version=3,moment_retrieval/qvhighlight/videos/rsv4drcgHys_60.0_210.0.mp4
7072,_C5vCGB8Xx0_660.0_810.0,A man is navigating through an app on his phone.,150.0,14.0,0.0933,4.0,"[[108, 122]]",https://www.youtube.com/embed/_C5vCGB8Xx0?start=660&end=810&version=3,moment_retrieval/qvhighlight/videos/_C5vCGB8Xx0_660.0_810.0.mp4
367,3xkYBL8F_hk_210.0_360.0,Woman's hand is lying on the floor.,150.0,14.0,0.0933,4.0,"[[64, 78]]",https://www.youtube.com/embed/3xkYBL8F_hk?start=210&end=360&version=3,moment_retrieval/qvhighlight/videos/3xkYBL8F_hk_210.0_360.0.mp4
9521,1Fok69yafi4_60.0_210.0,A rocket is taking off in New Zealand.,150.0,14.0,0.0933,4.0,"[[74, 88]]",https://www.youtube.com/embed/1Fok69yafi4?start=60&end=210&version=3,moment_retrieval/qvhighlight/videos/1Fok69yafi4_60.0_210.0.mp4
704,3WpD383GpcQ_210.0_360.0,The bus has tv screens.,150.0,14.0,0.0933,4.0,"[[20, 34]]",https://www.youtube.com/embed/3WpD383GpcQ?start=210&end=360&version=3,moment_retrieval/qvhighlight/videos/3WpD383GpcQ_210.0_360.0.mp4
9674,bDqmqax9FCE_360.0_510.0,A woman begins speaking at a podium.,150.0,14.0,0.0933,4.0,"[[76, 90]]",https://www.youtube.com/embed/bDqmqax9FCE?start=360&end=510&version=3,moment_retrieval/qvhighlight/videos/bDqmqax9FCE_360.0_510.0.mp4
5539,Gat3_WrStMI_360.0_510.0,People are on jetskis in the ocean.,150.0,14.0,0.0933,4.0,"[[6, 20]]",https://www.youtube.com/embed/Gat3_WrStMI?start=360&end=510&version=3,moment_retrieval/qvhighlight/videos/Gat3_WrStMI_360.0_510.0.mp4
7801,PlTOPwirDVY_360.0_510.0,Two boys and two girls jumped off a cliff into water.,150.0,14.0,0.0933,4.0,"[[56, 70]]",https://www.youtube.com/embed/PlTOPwirDVY?start=360&end=510&version=3,moment_retrieval/qvhighlight/videos/PlTOPwirDVY_360.0_510.0.mp4
7495,9c_w8HU3hqc_510.0_660.0,A box is filled with different chocolates.,150.0,14.0,0.0933,4.0,"[[12, 26]]",https://www.youtube.com/embed/9c_w8HU3hqc?start=510&end=660&version=3,moment_retrieval/qvhighlight/videos/9c_w8HU3hqc_510.0_660.0.mp4
7574,73d8lC0StsM_510.0_660.0,Woman opens a fridge to see produce.,150.0,14.0,0.0933,4.0,"[[70, 80], [94, 98]]",https://www.youtube.com/embed/73d8lC0StsM?start=510&end=660&version=3,moment_retrieval/qvhighlight/videos/73d8lC0StsM_510.0_660.0.mp4
6291,JAqpn-ZQZfo_210.0_360.0,A woman is belly dancing on stage under blue lighting.,150.0,14.0,0.0933,4.0,"[[66, 80]]",https://www.youtube.com/embed/JAqpn-ZQZfo?start=210&end=360&version=3,moment_retrieval/qvhighlight/videos/JAqpn-ZQZfo_210.0_360.0.mp4
774,B6AEPicK9Bk_210.0_360.0,Man holds out a sandwich to the camera.,150.0,14.0,0.0933,4.0,"[[122, 136]]",https://www.youtube.com/embed/B6AEPicK9Bk?start=210&end=360&version=3,moment_retrieval/qvhighlight/videos/B6AEPicK9Bk_210.0_360.0.mp4
7832,F29xwiqYxMA_360.0_510.0,Woman puts on a hijab.,150.0,14.0,0.0933,4.0,"[[84, 98]]",https://www.youtube.com/embed/F29xwiqYxMA?start=360&end=510&version=3,moment_retrieval/qvhighlight/videos/F29xwiqYxMA_360.0_510.0.mp4
7458,pH_zsbN5N5U_510.0_660.0,Women are getting their hair styled.,150.0,14.0,0.0933,4.0,"[[108, 122]]",https://www.youtube.com/embed/pH_zsbN5N5U?start=510&end=660&version=3,moment_retrieval/qvhighlight/videos/pH_zsbN5N5U_510.0_660.0.mp4
5562,hlpjVN0bQDE_360.0_510.0,Woman sits in front of breakfast food at the table.,150.0,14.0,0.0933,4.0,"[[0, 14]]",https://www.youtube.com/embed/hlpjVN0bQDE?start=360&end=510&version=3,moment_retrieval/qvhighlight/videos/hlpjVN0bQDE_360.0_510.0.mp4
796,nUomma09eWc_60.0_210.0,Train passes by the station.,150.0,14.0,0.0933,4.0,"[[132, 146]]",https://www.youtube.com/embed/nUomma09eWc?start=60&end=210&version=3,moment_retrieval/qvhighlight/videos/nUomma09eWc_60.0_210.0.mp4
8701,8PO95Jy8LUQ_510.0_660.0,a woman does a forward bend stretch,150.0,14.0,0.0933,4.0,"[[62, 76]]",https://www.youtube.com/embed/8PO95Jy8LUQ?start=510&end=660&version=3,moment_retrieval/qvhighlight/videos/8PO95Jy8LUQ_510.0_660.0.mp4
8018,2EfzyZZvaog_60.0_210.0,Mustached man holds a baby.,150.0,14.0,0.0933,4.0,"[[14, 28]]",https://www.youtube.com/embed/2EfzyZZvaog?start=60&end=210&version=3,moment_retrieval/qvhighlight/videos/2EfzyZZvaog_60.0_210.0.mp4
8715,hMqNYjcOJFQ_660.0_810.0,a german shephard dog sits at a computer,150.0,14.0,0.0933,4.0,"[[4, 18]]",https://www.youtube.com/embed/hMqNYjcOJFQ?start=660&end=810&version=3,moment_retrieval/qvhighlight/videos/hMqNYjcOJFQ_660.0_810.0.mp4
581,G94jWPfJPGE_60.0_210.0,Man wears a black mask in the car.,150.0,14.0,0.0933,4.0,"[[76, 90]]",https://www.youtube.com/embed/G94jWPfJPGE?start=60&end=210&version=3,moment_retrieval/qvhighlight/videos/G94jWPfJPGE_60.0_210.0.mp4
8699,EOgOEQJBdsU_510.0_660.0,man sits at a table and setting which is valentines day themed with a young child nearby.,150.0,14.0,0.0933,4.0,"[[134, 148]]",https://www.youtube.com/embed/EOgOEQJBdsU?start=510&end=660&version=3,moment_retrieval/qvhighlight/videos/EOgOEQJBdsU_510.0_660.0.mp4
10230,8sR5BHbB5pg_210.0_360.0,A skyscraper gets all lit up.,150.0,14.0,0.0933,4.0,"[[116, 130]]",https://www.youtube.com/embed/8sR5BHbB5pg?start=210&end=360&version=3,moment_retrieval/qvhighlight/videos/8sR5BHbB5pg_210.0_360.0.mp4
9801,gwjE4iYQ4W0_60.0_210.0,Larry Nassar is in a orange prison uniform.,150.0,14.0,0.0933,4.0,"[[58, 60], [80, 92]]",https://www.youtube.com/embed/gwjE4iYQ4W0?start=60&end=210&version=3,moment_retrieval/qvhighlight/videos/gwjE4iYQ4W0_60.0_210.0.mp4
149,hYLG74BTz0I_60.0_210.0,A baby is being rocked in a rainbow colored carriage.,150.0,14.0,0.0933,4.0,"[[130, 144]]",https://www.youtube.com/embed/hYLG74BTz0I?start=60&end=210&version=3,moment_retrieval/qvhighlight/videos/hYLG74BTz0I_60.0_210.0.mp4
8492,lUv0Vdwpz48_510.0_660.0,A man and a woman sit on a couch talking with a dog cuddling the man.,150.0,14.0,0.0933,4.0,"[[24, 38]]",https://www.youtube.com/embed/lUv0Vdwpz48?start=510&end=660&version=3,moment_retrieval/qvhighlight/videos/lUv0Vdwpz48_510.0_660.0.mp4
380,UpU388VRCkQ_210.0_360.0,Chef cooks the vegetables in the skillet.,150.0,14.0,0.0933,4.0,"[[32, 46]]",https://www.youtube.com/embed/UpU388VRCkQ?start=210&end=360&version=3,moment_retrieval/qvhighlight/videos/UpU388VRCkQ_210.0_360.0.mp4
74,OY3YapsB4Qo_210.0_360.0,Woman in black is standing next to a horse.,150.0,14.0,0.0933,4.0,"[[68, 82]]",https://www.youtube.com/embed/OY3YapsB4Qo?start=210&end=360&version=3,moment_retrieval/qvhighlight/videos/OY3YapsB4Qo_210.0_360.0.mp4
1055,oez2EJ0-EW4_60.0_210.0,A woman in an orange shawl is trying a red drink.,150.0,14.0,0.0933,4.0,"[[50, 64]]",https://www.youtube.com/embed/oez2EJ0-EW4?start=60&end=210&version=3,moment_retrieval/qvhighlight/videos/oez2EJ0-EW4_60.0_210.0.mp4
10250,frdkTV58-B8_360.0_510.0,Plane is on a ship deck then takes off.,150.0,14.0,0.0933,4.0,"[[54, 68]]",https://www.youtube.com/embed/frdkTV58-B8?start=360&end=510&version=3,moment_retrieval/qvhighlight/videos/frdkTV58-B8_360.0_510.0.mp4
7482,U7ksdYPswSI_510.0_660.0,A woman is doing her make up next to a purple light.,150.0,14.0,0.0933,4.0,"[[124, 138]]",https://www.youtube.com/embed/U7ksdYPswSI?start=510&end=660&version=3,moment_retrieval/qvhighlight/videos/U7ksdYPswSI_510.0_660.0.mp4
8561,DuQbOQwVaNE_510.0_660.0,A soccer player attempts to kick a goal.,150.0,14.0,0.0933,4.0,"[[10, 12], [22, 26], [34, 42]]",https://www.youtube.com/embed/DuQbOQwVaNE?start=510&end=660&version=3,moment_retrieval/qvhighlight/videos/DuQbOQwVaNE_510.0_660.0.mp4
6520,4mAgjyS9VI0_360.0_510.0,A woman is relaxing on her hotel bed wearing a white robe and towel on her head.,150.0,14.0,0.0933,4.0,"[[38, 52]]",https://www.youtube.com/embed/4mAgjyS9VI0?start=360&end=510&version=3,moment_retrieval/qvhighlight/videos/4mAgjyS9VI0_360.0_510.0.mp4
10015,pJm9Fpb00Bg_210.0_360.0,Mark Zuckerberg is giving a speech in front of a display of blue fire.,150.0,14.0,0.0933,4.0,"[[54, 68]]",https://www.youtube.com/embed/pJm9Fpb00Bg?start=210&end=360&version=3,moment_retrieval/qvhighlight/videos/pJm9Fpb00Bg_210.0_360.0.mp4
979,3mvsbBR2j8A_360.0_510.0,Woman is walking down the street with her head up.,150.0,14.0,0.0933,4.0,"[[102, 116]]",https://www.youtube.com/embed/3mvsbBR2j8A?start=360&end=510&version=3,moment_retrieval/qvhighlight/videos/3mvsbBR2j8A_360.0_510.0.mp4
9998,auGgM6ElQQE_60.0_210.0,A woman in a blue suit is giving a press conference at a podium with a seal on the front.,150.0,14.0,0.0933,4.0,"[[100, 114]]",https://www.youtube.com/embed/auGgM6ElQQE?start=60&end=210&version=3,moment_retrieval/qvhighlight/videos/auGgM6ElQQE_60.0_210.0.mp4
5884,Bv_C7tiSJec_360.0_510.0,Woman holds up a cup to the sign.,150.0,14.0,0.0933,4.0,"[[16, 30]]",https://www.youtube.com/embed/Bv_C7tiSJec?start=360&end=510&version=3,moment_retrieval/qvhighlight/videos/Bv_C7tiSJec_360.0_510.0.mp4
5621,qx9cuKXWNFE_360.0_510.0,Woman is wearing a large white hat on the boat.,150.0,14.0,0.0933,4.0,"[[100, 114]]",https://www.youtube.com/embed/qx9cuKXWNFE?start=360&end=510&version=3,moment_retrieval/qvhighlight/videos/qx9cuKXWNFE_360.0_510.0.mp4
5793,Yyh1loIu1rc_210.0_360.0,Woman in blue jacket skis down a mountain.,150.0,14.0,0.0933,4.0,"[[42, 56]]",https://www.youtube.com/embed/Yyh1loIu1rc?start=210&end=360&version=3,moment_retrieval/qvhighlight/videos/Yyh1loIu1rc_210.0_360.0.mp4
7694,Yyh1loIu1rc_60.0_210.0,Woman in knit sweater stands in front of a table.,150.0,14.0,0.0933,4.0,"[[136, 150]]",https://www.youtube.com/embed/Yyh1loIu1rc?start=60&end=210&version=3,moment_retrieval/qvhighlight/videos/Yyh1loIu1rc_60.0_210.0.mp4
8972,8IxEcSkLurc_510.0_660.0,Man wears a yellow helmet to ride a motorcycle.,150.0,14.0,0.0933,4.0,"[[130, 144]]",https://www.youtube.com/embed/8IxEcSkLurc?start=510&end=660&version=3,moment_retrieval/qvhighlight/videos/8IxEcSkLurc_510.0_660.0.mp4
5961,wsWYVhIFFCw_210.0_360.0,Woman holds up a apple and a bag of food to the camera.,150.0,14.0,0.0933,4.0,"[[64, 78]]",https://www.youtube.com/embed/wsWYVhIFFCw?start=210&end=360&version=3,moment_retrieval/qvhighlight/videos/wsWYVhIFFCw_210.0_360.0.mp4
7644,5K0Ioyvwy2I_210.0_360.0,Man lays down on deck furniture.,150.0,14.0,0.0933,4.0,"[[54, 60], [70, 78]]",https://www.youtube.com/embed/5K0Ioyvwy2I?start=210&end=360&version=3,moment_retrieval/qvhighlight/videos/5K0Ioyvwy2I_210.0_360.0.mp4
8678,tCNxeJLHy5g_510.0_660.0,A lady in white top is talking and a man in suit is popped up by the corner of the video and disappeared.,150.0,14.0,0.0933,4.0,"[[124, 138]]",https://www.youtube.com/embed/tCNxeJLHy5g?start=510&end=660&version=3,moment_retrieval/qvhighlight/videos/tCNxeJLHy5g_510.0_660.0.mp4
5760,jSPYN2m1DzM_60.0_210.0,A black woman in an orange bikini is hanging out on the beach.,150.0,14.0,0.0933,4.0,"[[136, 150]]",https://www.youtube.com/embed/jSPYN2m1DzM?start=60&end=210&version=3,moment_retrieval/qvhighlight/videos/jSPYN2m1DzM_60.0_210.0.mp4
7470,eC_OcIQqS94_510.0_660.0,Woman in the car drinking a slurpee,150.0,14.0,0.0933,4.0,"[[128, 142]]",https://www.youtube.com/embed/eC_OcIQqS94?start=510&end=660&version=3,moment_retrieval/qvhighlight/videos/eC_OcIQqS94_510.0_660.0.mp4
913,VeUK1clEIac_360.0_510.0,Vlogger shows the objects next to a bathroom sink.,150.0,14.0,0.0933,4.0,"[[136, 150]]",https://www.youtube.com/embed/VeUK1clEIac?start=360&end=510&version=3,moment_retrieval/qvhighlight/videos/VeUK1clEIac_360.0_510.0.mp4
5720,EWFsfU3mqMg_210.0_360.0,Woman holds up a plate of food and eats it.,150.0,14.0,0.0933,4.0,"[[116, 130]]",https://www.youtube.com/embed/EWFsfU3mqMg?start=210&end=360&version=3,moment_retrieval/qvhighlight/videos/EWFsfU3mqMg_210.0_360.0.mp4
7788,DZ46A2EaQoE_210.0_360.0,Woman dips food in the sauce.,150.0,14.0,0.0933,4.0,"[[72, 86]]",https://www.youtube.com/embed/DZ46A2EaQoE?start=210&end=360&version=3,moment_retrieval/qvhighlight/videos/DZ46A2EaQoE_210.0_360.0.mp4
7880,T93Wt9sJLJg_360.0_510.0,Man in black top is sitting in a chair.,150.0,14.0,0.0933,4.0,"[[120, 134]]",https://www.youtube.com/embed/T93Wt9sJLJg?start=360&end=510&version=3,moment_retrieval/qvhighlight/videos/T93Wt9sJLJg_360.0_510.0.mp4
8630,7IdstUKKMKc_510.0_660.0,A women looks for her mask and puts in on while in her car.,150.0,14.0,0.0933,4.0,"[[98, 112]]",https://www.youtube.com/embed/7IdstUKKMKc?start=510&end=660&version=3,moment_retrieval/qvhighlight/videos/7IdstUKKMKc_510.0_660.0.mp4
7048,CjxCX6Pkb1k_660.0_810.0,A black woman is relaxing in a room covered in sheer pink curtains.,150.0,14.0,0.0933,4.0,"[[136, 150]]",https://www.youtube.com/embed/CjxCX6Pkb1k?start=660&end=810&version=3,moment_retrieval/qvhighlight/videos/CjxCX6Pkb1k_660.0_810.0.mp4
9534,Snpclpo7Ono_60.0_210.0,Healthcare workers care for Covid patients in a hospital ward.,150.0,14.0,0.0933,4.0,"[[76, 90]]",https://www.youtube.com/embed/Snpclpo7Ono?start=60&end=210&version=3,moment_retrieval/qvhighlight/videos/Snpclpo7Ono_60.0_210.0.mp4
8485,2k9hYS4ErsQ_510.0_660.0,A lady is talking while the birds tweeting on the background,150.0,14.0,0.0933,4.0,"[[50, 64]]",https://www.youtube.com/embed/2k9hYS4ErsQ?start=510&end=660&version=3,moment_retrieval/qvhighlight/videos/2k9hYS4ErsQ_510.0_660.0.mp4
36,DunJYSyTcu8_60.0_210.0,Woman covers laptop with their hand.,150.0,14.0,0.0933,4.0,"[[70, 84]]",https://www.youtube.com/embed/DunJYSyTcu8?start=60&end=210&version=3,moment_retrieval/qvhighlight/videos/DunJYSyTcu8_60.0_210.0.mp4
6478,1-mmR6VTu7U_360.0_510.0,A woman with a bun and black glasses is talking to the camera on the street.,150.0,14.0,0.0933,4.0,"[[0, 14]]",https://www.youtube.com/embed/1-mmR6VTu7U?start=360&end=510&version=3,moment_retrieval/qvhighlight/videos/1-mmR6VTu7U_360.0_510.0.mp4
901,fTbdwZZxFvc_360.0_510.0,Hedges are shaped like penguins.,150.0,14.0,0.0933,4.0,"[[2, 16]]",https://www.youtube.com/embed/fTbdwZZxFvc?start=360&end=510&version=3,moment_retrieval/qvhighlight/videos/fTbdwZZxFvc_360.0_510.0.mp4
7397,ye092Ohxtks_510.0_660.0,A woman is looking through a selection of fake eyelashes.,150.0,14.0,0.0933,4.0,"[[0, 14]]",https://www.youtube.com/embed/ye092Ohxtks?start=510&end=660&version=3,moment_retrieval/qvhighlight/videos/ye092Ohxtks_510.0_660.0.mp4
7682,iFx-hrwAODM_210.0_360.0,Friends enjoy a meal together at a table.,150.0,14.0,0.0933,4.0,"[[124, 138]]",https://www.youtube.com/embed/iFx-hrwAODM?start=210&end=360&version=3,moment_retrieval/qvhighlight/videos/iFx-hrwAODM_210.0_360.0.mp4
10162,bRWIqrmiTN0_360.0_510.0,Two men interview each other in the dark.,150.0,14.0,0.0933,4.0,"[[136, 150]]",https://www.youtube.com/embed/bRWIqrmiTN0?start=360&end=510&version=3,moment_retrieval/qvhighlight/videos/bRWIqrmiTN0_360.0_510.0.mp4
5702,qGH8jL8YLGA_360.0_510.0,Vlogger has their phone in their hand.,150.0,14.0,0.0933,4.0,"[[82, 96]]",https://www.youtube.com/embed/qGH8jL8YLGA?start=360&end=510&version=3,moment_retrieval/qvhighlight/videos/qGH8jL8YLGA_360.0_510.0.mp4
8029,-YoS2o-teho_60.0_210.0,Woman in jean jacket sits on a couch.,150.0,14.0,0.0933,4.0,"[[92, 106]]",https://www.youtube.com/embed/-YoS2o-teho?start=60&end=210&version=3,moment_retrieval/qvhighlight/videos/-YoS2o-teho_60.0_210.0.mp4
8415,46LRdf1D2iw_510.0_660.0,Man gets into a car parked on the side of the road.,150.0,14.0,0.0933,4.0,"[[134, 148]]",https://www.youtube.com/embed/46LRdf1D2iw?start=510&end=660&version=3,moment_retrieval/qvhighlight/videos/46LRdf1D2iw_510.0_660.0.mp4
6218,7iIoZwrMFc8_210.0_360.0,The woman wearing a tan headscarf shows off her water bottle.,150.0,14.0,0.0933,4.0,"[[98, 112]]",https://www.youtube.com/embed/7iIoZwrMFc8?start=210&end=360&version=3,moment_retrieval/qvhighlight/videos/7iIoZwrMFc8_210.0_360.0.mp4
8053,-0F1uov8xBY_60.0_210.0,Wonderful creatures of the animal kingdom are viewed by a group of fellows.,150.0,14.0,0.0933,4.0,"[[112, 120], [126, 132]]",https://www.youtube.com/embed/-0F1uov8xBY?start=60&end=210&version=3,moment_retrieval/qvhighlight/videos/-0F1uov8xBY_60.0_210.0.mp4
5618,FjcGcuYe63c_360.0_510.0,Woman in pink top stands at a building corner.,150.0,14.0,0.0933,4.0,"[[102, 116]]",https://www.youtube.com/embed/FjcGcuYe63c?start=360&end=510&version=3,moment_retrieval/qvhighlight/videos/FjcGcuYe63c_360.0_510.0.mp4
8516,WsqcLx8cwOE_510.0_660.0,a child walls around a mall,150.0,14.0,0.0933,4.0,"[[112, 118], [124, 132]]",https://www.youtube.com/embed/WsqcLx8cwOE?start=510&end=660&version=3,moment_retrieval/qvhighlight/videos/WsqcLx8cwOE_510.0_660.0.mp4
7349,meDwamMxYUE_510.0_660.0,Disney characters dance in front of the castle.,150.0,14.0,0.0933,4.0,"[[6, 20]]",https://www.youtube.com/embed/meDwamMxYUE?start=510&end=660&version=3,moment_retrieval/qvhighlight/videos/meDwamMxYUE_510.0_660.0.mp4
10241,D5SZpnuPgzI_60.0_210.0,Brain scans are seen on a computer.,150.0,14.0,0.0933,4.0,"[[76, 90]]",https://www.youtube.com/embed/D5SZpnuPgzI?start=60&end=210&version=3,moment_retrieval/qvhighlight/videos/D5SZpnuPgzI_60.0_210.0.mp4
6499,XaGp_2ZqjiQ_60.0_210.0,A man takes a dip into an overflowing pool surrounded by plants.,150.0,14.0,0.0933,4.0,"[[28, 42]]",https://www.youtube.com/embed/XaGp_2ZqjiQ?start=60&end=210&version=3,moment_retrieval/qvhighlight/videos/XaGp_2ZqjiQ_60.0_210.0.mp4
5957,xRSpDGgd8eI_360.0_510.0,Kids stand around a birthday cake.,150.0,14.0,0.0933,4.0,"[[46, 60]]",https://www.youtube.com/embed/xRSpDGgd8eI?start=360&end=510&version=3,moment_retrieval/qvhighlight/videos/xRSpDGgd8eI_360.0_510.0.mp4
1129,5aFDsecEJBs_210.0_360.0,Woman takes a shower and we can only see her calves.,150.0,14.0,0.0933,4.0,"[[34, 48]]",https://www.youtube.com/embed/5aFDsecEJBs?start=210&end=360&version=3,moment_retrieval/qvhighlight/videos/5aFDsecEJBs_210.0_360.0.mp4
7115,jOCB9L1aPdY_510.0_660.0,Two different women stir the wok.,150.0,14.0,0.0933,4.0,"[[12, 20], [106, 112]]",https://www.youtube.com/embed/jOCB9L1aPdY?start=510&end=660&version=3,moment_retrieval/qvhighlight/videos/jOCB9L1aPdY_510.0_660.0.mp4
7339,aw982vXnrDk_510.0_660.0,Woman hugs another woman from behind.,150.0,14.0,0.0933,4.0,"[[50, 64]]",https://www.youtube.com/embed/aw982vXnrDk?start=510&end=660&version=3,moment_retrieval/qvhighlight/videos/aw982vXnrDk_510.0_660.0.mp4
6389,uJ97MxBs4qU_210.0_360.0,A man is riding a horse near the ancient Egyptian pyramids.,150.0,14.0,0.0933,4.0,"[[12, 26]]",https://www.youtube.com/embed/uJ97MxBs4qU?start=210&end=360&version=3,moment_retrieval/qvhighlight/videos/uJ97MxBs4qU_210.0_360.0.mp4
7673,Pq9d80W8kHg_210.0_360.0,A car pulls up to a house structure covered in crawling vines with pillars and domes.,150.0,14.0,0.0933,4.0,"[[126, 140]]",https://www.youtube.com/embed/Pq9d80W8kHg?start=210&end=360&version=3,moment_retrieval/qvhighlight/videos/Pq9d80W8kHg_210.0_360.0.mp4
8704,E_dRc1GzyQY_660.0_810.0,Woman gets on the couch next to her dog.,150.0,14.0,0.0933,4.0,"[[46, 60]]",https://www.youtube.com/embed/E_dRc1GzyQY?start=660&end=810&version=3,moment_retrieval/qvhighlight/videos/E_dRc1GzyQY_660.0_810.0.mp4
7142,P6YBCIUjq00_510.0_660.0,A woman is showing her snack plate which includes a finely sliced avocado.,150.0,14.0,0.0933,4.0,"[[136, 150]]",https://www.youtube.com/embed/P6YBCIUjq00?start=510&end=660&version=3,moment_retrieval/qvhighlight/videos/P6YBCIUjq00_510.0_660.0.mp4
